Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
192157;976,49;23,79;0,39;310,64;;;;;-3,064578125;;;;;;;;;;;;0;0;None;;ground_level
193167;976,59;23,88;0,39;309,78;;;;;-2,923320227;;;;;;;;;;;;0;0;None;;ground_level
194178;976,41;23,77;0,39;311,33;;;;;-2,940079639;;;;;;;;;;;;0;0;None;;ground_level
195189;976,49;23,84;0,39;310,64;;;;;-3,021482495;;;;;;;;;;;;0;0;None;;ground_level
196200;976,6;23,93;0,39;309,7;;;;;-2,978386865;;;;;;;;;;;;0;0;None;;ground_level
197214;976,4;23,82;0,39;311,41;;;;;-2,975992664;;;;;;;;;;;;0;0;None;;ground_level
198224;976,48;23,89;0,39;310,73;;;;;-2,947262244;;;;;;;;;;;;0;0;None;;ground_level
199235;976,58;23,98;0,38;309,87;;;;;-2,935291235;;;;;;;;;;;;0;0;None;;ground_level
200246;976,38;23,86;0,38;311,58;;;;;-2,968810059;;;;;;;;;;;;0;0;None;;ground_level
201256;976,46;23,93;0,38;310,9;;;;;-2,954444849;;;;;;;;;;;;0;0;None;;ground_level
202273;976,56;24,02;0,37;310,04;;;;;-2,959233252;;;;;;;;;;;;0;0;None;;ground_level
203284;976,38;23,91;0,37;311,58;;;;;-2,935291235;;;;;;;;;;;;0;0;None;;ground_level
204296;976,46;23,98;0,37;310,9;;;;;-2,923320227;;;;;;;;;;;;0;0;None;;ground_level
205306;976,57;24,06;0,38;309,95;;;;;-3,038241907;;;;;;;;;;;;0;0;None;;ground_level
206317;976,36;23,94;0,38;311,76;;;;;-3,062183923;;;;;;;;;;;;0;0;None;;ground_level
207331;976,51;24,06;0,38;310,47;;;;;-2,856282581;;;;;;;;;;;;0;0;None;;ground_level
208343;976,56;24,11;0,38;310,04;;;;;-2,940079639;;;;;;;;;;;;0;0;None;;ground_level
209354;976,38;24;0,38;311,58;;;;;-2,904166614;;;;;;;;;;;;0;0;None;;ground_level
210364;976,51;24,12;0,38;310,47;;;;;-2,91374342;;;;;;;;;;;;0;0;None;;ground_level
211374;976,55;24,16;0,38;310,13;;;;;-3,016694092;;;;;;;;;;;;0;0;None;;ground_level
212387;976,35;24,04;0,38;311,84;;;;;-2,964021655;;;;;;;;;;;;0;0;None;;ground_level
213397;976,49;24,16;0,38;310,64;;;;;-2,94247384;;;;;;;;;;;;0;0;None;;ground_level
214406;976,54;24,2;0,38;310,21;;;;;-2,904166614;;;;;;;;;;;;0;0;None;;ground_level
215416;976,34;24,08;0,38;311,93;;;;;-2,798821741;;;;;;;;;;;;0;0;None;;ground_level
216426;976,48;24,19;0,38;310,73;;;;;-2,975992664;;;;;;;;;;;;0;0;None;;ground_level
217441;976,53;24,24;0,38;310,3;;;;;-2,844311572;;;;;;;;;;;;0;0;None;;ground_level
218453;976,36;24,13;0,37;311,76;;;;;-2,990357874;;;;;;;;;;;;0;0;None;;ground_level
219463;976,44;24,2;0,37;311,07;;;;;-2,949656445;;;;;;;;;;;;0;0;None;;ground_level
220474;976,51;24,26;0,37;310,47;;;;;-2,975992664;;;;;;;;;;;;0;0;None;;ground_level
221484;976,34;24,15;0,37;311,93;;;;;-2,940079639;;;;;;;;;;;;0;0;None;;ground_level
222500;976,3;24,15;0,37;312,27;;;;;-3,004723083;;;;;;;;;;;;0;0;None;;ground_level
223511;976,4;24,23;0,37;311,41;;;;;-3,007117285;;;;;;;;;;;;0;0;None;;ground_level
224520;976,28;24,16;0,37;312,44;;;;;-2,937685437;;;;;;;;;;;;0;0;None;;ground_level
225529;976,22;24,15;0,37;312,96;;;;;-2,959233252;;;;;;;;;;;;0;0;None;;ground_level
226539;976,34;24,24;0,37;311,93;;;;;-2,94247384;;;;;;;;;;;;0;0;None;;ground_level
227552;976,25;24,19;0,37;312,7;;;;;-2,822763757;;;;;;;;;;;;0;0;None;;ground_level
228562;976,2;24,17;0,37;313,13;;;;;-2,964021655;;;;;;;;;;;;0;0;None;;ground_level
229572;976,32;24,27;0,37;312,1;;;;;-2,925714429;;;;;;;;;;;;0;0;None;;ground_level
230583;976,29;24,26;0,37;312,36;;;;;-2,97120426;;;;;;;;;;;;0;0;None;;ground_level
231594;976,23;24,23;0,37;312,87;;;;;-2,949656445;;;;;;;;;;;;0;0;None;;ground_level
232605;976,36;24,33;0,37;311,76;;;;;-3,002328882;;;;;;;;;;;;0;0;None;;ground_level
233615;976,4;24,36;0,37;311,41;;;;;-2,952050647;;;;;;;;;;;;0;0;None;;ground_level
234625;976,26;24,29;0,37;312,61;;;;;-2,97120426;;;;;;;;;;;;0;0;None;;ground_level
235635;976,38;24,38;0,37;311,58;;;;;-2,995146277;;;;;;;;;;;;0;0;None;;ground_level
236645;976,44;24,44;0,37;311,07;;;;;-2,858676782;;;;;;;;;;;;0;0;None;;ground_level
237663;976,32;24,38;0,37;312,1;;;;;-2,968810059;;;;;;;;;;;;0;0;None;;ground_level
238673;976,42;24,46;0,37;311,24;;;;;-2,894589807;;;;;;;;;;;;0;0;None;;ground_level
239683;976,57;24,57;0,37;309,95;;;;;-2,995146277;;;;;;;;;;;;0;0;None;;ground_level
240694;976,38;24,47;0,37;311,58;;;;;-3,052607117;;;;;;;;;;;;0;0;None;;ground_level
241705;976,47;24,54;0,37;310,81;;;;;-2,904166614;;;;;;;;;;;;0;0;None;;ground_level
242718;976,57;24,63;0,36;309,95;;;;;-2,954444849;;;;;;;;;;;;0;0;None;;ground_level
243728;976,37;24,52;0,35;311,67;;;;;-2,990357874;;;;;;;;;;;;0;0;None;;ground_level
244738;976,45;24,59;0,36;310,98;;;;;-2,935291235;;;;;;;;;;;;0;0;None;;ground_level
